Pop,A,B,C,D,E,F,G,H
BarkFox,1:1,1:3,NA:NA,4:2,1:5,1:1,1:2,4:5
BarkFox,1:1,1:1,NA:NA,4:2,1:3,1:1,1:2,5:5
BarkFox,1:1,1:1,NA:NA,2:2,1:1,1:1,1:1,5:5
BarkFox,1:1,2:2,1:1,4:2,3:5,1:1,1:1,5:5
BarkFox,1:1,1:1,NA:NA,4:2,1:2,1:1,NA:NA,3:5
BarkFox,1:1,1:1,1:1,4:2,1:3,1:1,1:1,3:5
BarkFox,1:1,1:2,1:1,2:2,1:5,2:1,1:1,5:5
BarkFox,1:1,1:1,NA:NA,4:2,1:3,1:1,1:1,5:5
Bob,1:1,1:2,1:2,2:2,3:5,1:1,1:1,3:5
Bob,1:1,1:1,1:2,1:2,1:3,NA:NA,NA:NA,NA:NA
Bob,1:1,1:1,1:1,2:2,1:4,1:1,1:1,6:4
Bob,1:1,4:1,1:1,2:2,NA:NA,1:1,1:1,6:5
Bob,1:1,1:1,1:1,2:2,3:5,1:1,1:1,6:4
Bob,1:1,1:1,1:2,2:2,1:2,1:1,1:1,3:4
Bob,1:1,1:1,NA:NA,2:2,3:5,1:1,1:1,6:4
Bob,1:1,1:2,1:1,2:2,1:8,1:1,NA:NA,5:5
Bob,1:1,1:2,1:1,2:2,1:8,1:1,NA:NA,5:5
Bob,3:1,1:1,1:2,2:2,1:3,1:1,1:1,4:5
Bob,1:1,1:1,1:1,2:2,3:5,1:1,1:1,6:4
Bob,1:1,4:1,1:2,1:2,2:2,1:1,NA:NA,4:4
Bob,3:1,1:1,1:1,2:2,1:8,1:1,1:2,5:5
Cache,1:1,NA:NA,NA:NA,1:2,1:2,1:1,1:1,6:4
Cache,NA:NA,1:2,1:1,2:2,2:5,1:1,NA:NA,6:4
Cache,1:1,4:1,NA:NA,2:2,2:8,1:1,NA:NA,6:4
Cache,1:1,1:2,1:1,2:2,1:4,1:1,1:2,4:5
Cache,1:1,2:2,NA:NA,1:2,1:4,1:1,1:1,6:5
Cache,1:1,1:2,2:2,2:2,2:4,1:1,2:2,5:5
Cache,1:1,1:2,1:1,2:2,4:5,1:1,1:2,1:5
Egg,1:1,1:2,1:1,2:2,NA:NA,1:1,2:2,3:4
Egg,1:1,1:2,1:1,2:2,4:5,1:1,1:2,6:5
Egg,1:1,1:1,1:1,2:2,2:8,1:1,1:2,6:4
Egg,1:1,1:1,1:1,2:2,2:5,1:1,NA:NA,6:4
Egg,1:1,1:1,1:1,2:2,4:5,1:1,1:2,4:5
Egg,1:1,1:1,NA:NA,2:2,1:6,1:1,2:2,5:5
Egg,1:1,1:2,1:1,2:2,4:5,1:1,1:2,6:5
Egg,1:1,1:2,1:1,2:2,4:5,NA:NA,NA:NA,NA:NA
Egg,1:1,1:1,1:1,2:2,1:1,1:1,NA:NA,NA:NA
Egg,1:1,2:2,1:1,2:2,2:5,1:1,1:1,4:4
Egg,1:1,1:2,NA:NA,2:2,1:4,1:1,NA:NA,1:5
Egg,1:1,1:1,1:1,2:2,2:5,1:1,NA:NA,6:4
Egg,1:1,1:1,1:1,2:2,2:8,1:1,NA:NA,6:4
Egg,1:1,1:1,1:1,2:2,2:4,1:1,1:1,6:5
Egg,1:1,1:2,NA:NA,2:2,2:2,1:1,1:1,4:5
Egg,1:1,1:1,1:1,2:2,NA:NA,1:1,1:1,6:5
Egg,1:1,1:2,1:1,2:2,1:4,1:1,1:1,1:5
Frog,1:1,1:2,1:1,3:2,2:4,1:1,NA:NA,6:4
Frog,1:1,1:1,NA:NA,1:2,NA:NA,NA:NA,NA:NA,NA:NA
Frog,1:1,2:2,1:1,3:2,2:4,1:1,1:2,4:5
Frog,1:1,1:1,1:1,1:2,2:2,NA:NA,NA:NA,NA:NA
Frog,1:1,1:1,4:4,2:2,3:4,1:1,1:1,4:5
Frog,1:1,1:1,1:2,2:2,1:4,NA:NA,NA:NA,NA:NA
Frog,1:1,1:2,NA:NA,2:2,NA:NA,NA:NA,NA:NA,NA:NA
Frog,1:1,1:2,1:1,3:2,2:4,NA:NA,NA:NA,4:5
Frog,1:1,NA:NA,1:1,2:2,2:4,1:1,2:2,4:5
GentainL,1:1,1:3,1:1,3:3,1:1,1:1,2:2,5:5
GentainL,1:1,1:2,1:1,3:2,3:5,1:1,1:2,3:5
GentainL,1:1,1:3,NA:NA,3:1,2:6,1:3,1:2,3:4
GentainL,1:1,1:3,NA:NA,3:1,1:7,1:1,1:2,3:5
GentainL,NA:NA,1:3,1:1,1:1,2:5,1:1,1:1,4:5
GentainL,1:2,1:2,1:1,3:1,1:2,1:1,NA:NA,4:5
GentainL,1:1,NA:NA,1:1,4:2,2:2,1:3,1:2,4:4
GentainL,1:1,2:3,NA:NA,3:1,1:5,1:1,2:2,5:5
GentainL,1:1,2:3,1:1,4:2,1:2,1:1,1:2,4:5
GentainL,1:1,1:3,NA:NA,1:2,5:7,1:1,1:2,3:5
GentainL,1:1,2:3,1:1,3:2,1:6,1:1,2:2,3:5
GentainL,1:2,2:3,NA:NA,3:4,1:6,1:1,2:2,3:5
GentainL,1:1,2:3,NA:NA,4:2,1:2,1:3,1:2,1:4
GentainL,1:1,2:3,NA:NA,3:2,5:6,1:1,1:2,1:8
GentainL,1:1,1:2,NA:NA,1:1,5:7,1:1,1:2,NA:NA
GentainL,1:1,2:3,NA:NA,4:2,1:7,1:1,1:2,1:4
GentainL,1:1,2:2,1:1,1:1,5:7,1:1,1:1,1:3
